spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
26,0,1.78439e+08,0,0,5.35317e+07,101,0,0,0
25,1,4.73852e+08,0,0,1.42156e+08,204,0,0,0
24,2,4.46093e+08,0,0,1.33828e+08,237,0,0,0
23,3,4.86654e+08,0,0,1.45996e+08,253,0,0,0
22,4,4.54917e+08,0,0,1.36475e+08,177,0,0,0
21,5,3.34563e+08,0,0,1.00369e+08,198,0,0,0
20,6,7.01109e+08,0,0,2.10333e+08,449,0,0,0
19,7,1.04932e+09,0,0,3.14796e+08,463,0,0,0
18,8,1.25752e+09,0,0,3.77256e+08,454,0,0,0
17,9,8.77409e+08,0,0,2.63223e+08,441,0,0,0
16,10,6.12541e+08,0,0,1.83762e+08,339,0,0,0
15,11,7.83771e+08,0,0,2.35131e+08,346,0,0,0
14,12,3.29308e+08,0,0,9.87924e+07,139,0,0,0
13,13,3.82154e+08,0,0,1.14646e+08,191,0,0,0
12,14,2.96906e+08,0,0,8.90718e+07,153,0,0,0
11,15,1.97484e+08,0,0,5.92452e+07,119,0,0,0
10,16,1.1051e+10,0,0,3.3153e+09,398,0,0,0
