"","x"
"1",56
"2",111
"3",140
"4",194
"5",196
"6",224
"7",225
"8",279
"9",280
"10",281
"11",309
"12",364
"13",365
"14",389
"15",390
"16",391
"17",421
"18",470
"19",471
"20",475
"21",476
"22",505
"23",524
"24",528
"25",531
"26",554
"27",559
"28",560
"29",604
"30",609
"31",613
"32",616
"33",619
"34",620
"35",623
"36",628
"37",634
"38",644
"39",646
"40",648
"41",649
"42",650
"43",664
"44",670
"45",674
"46",675
"47",680
"48",689
"49",691
"50",694
"51",698
"52",700
"53",701
"54",703
"55",706
"56",709
"57",718
"58",719
"59",744
"60",746
"61",747
"62",755
"63",764
"64",773
"65",776
"66",777
"67",778
"68",781
"69",783
"70",785
"71",786
"72",789
"73",793
"74",804
"75",828
"76",833
"77",839
"78",844
"79",851
"80",854
"81",855
"82",859
"83",860
"84",861
"85",864
"86",865
"87",866
"88",868
"89",869
"90",873
"91",888
"92",889
"93",896
"94",900
"95",909
"96",910
"97",911
"98",915
"99",916
"100",917
"101",925
"102",929
"103",937
"104",943
"105",944
"106",946
"107",947
"108",956
"109",959
"110",971
"111",996
"112",998
"113",999
"114",1013
"115",1020
"116",1021
"117",1023
"118",1024
"119",1026
"120",1028
"121",1029
"122",1034
"123",1040
"124",1054
"125",1070
"126",1075
"127",1079
"128",1085
"129",1108
"130",1109
"131",1116
"132",1119
"133",1158
"134",1159
"135",1175
"136",1180
"137",1186
"138",1197
"139",1200
"140",1202
"141",1204
"142",1208
"143",1214
"144",1257
"145",1260
"146",1269
"147",1281
"148",1285
"149",1289
"150",1290
"151",1328
"152",1329
"153",1341
"154",1343
"155",1345
"156",1351
"157",1381
"158",1383
"159",1393
"160",1399
"161",1408
"162",1409
"163",1411
"164",1420
"165",1426
"166",1433
"167",1434
"168",1438
"169",1439
"170",1461
"171",1481
"172",1489
"173",1490
"174",1494
"175",1508
"176",1544
"177",1545
"178",1549
"179",1553
"180",1571
"181",1573
"182",1579
"183",1581
"184",1591
"185",1600
"186",1626
"187",1631
"188",1639
"189",1654
"190",1655
"191",1659
"192",1666
"193",1675
"194",1686
"195",1713
"196",1714
"197",1726
"198",1736
"199",1741
"200",1754
"201",1755
"202",1769
"203",1795
"204",1796
"205",1797
"206",1810
"207",1823
"208",1824
"209",1826
"210",1850
"211",1878
"212",1881
"213",1909
"214",1916
"215",1919
"216",1929
"217",1959
"218",1961
"219",1966
"220",1969
"221",1970
"222",1971
"223",1984
"224",1991
"225",1999
"226",2031
"227",2039
"228",2040
"229",2053
"230",2054
"231",2057
"232",2067
"233",2068
"234",2069
"235",2070
"236",2079
"237",2080
"238",2081
"239",2098
"240",2103
"241",2108
"242",2110
"243",2125
"244",2126
"245",2133
"246",2134
"247",2135
"248",2136
"249",2138
"250",2159
"251",2166
"252",2178
"253",2180
"254",2181
"255",2184
"256",2188
"257",2190
"258",2191
"259",2193
"260",2207
"261",2208
"262",2209
"263",2210
"264",2211
"265",2215
"266",2216
"267",2218
"268",2220
"269",2221
"270",2222
"271",2238
"272",2262
"273",2264
"274",2265
"275",2273
"276",2275
"277",2289
"278",2291
"279",2294
"280",2300
"281",2301
"282",2302
"283",2346
"284",2353
"285",2354
"286",2385
"287",2406
"288",2407
"289",2408
"290",2434
"291",2435
"292",2441
"293",2455
"294",2496
"295",2510
"296",2516
"297",2593
"298",2621
"299",2623
"300",2626
"301",2680
"302",2681
"303",2707
"304",2708
"305",2735
"306",2736
