"","x"
"1",56
"2",111
"3",140
"4",194
"5",196
"6",224
"7",225
"8",279
"9",280
"10",281
"11",309
"12",364
"13",365
"14",389
"15",390
"16",391
"17",421
"18",470
"19",471
"20",475
"21",476
"22",505
"23",524
"24",531
"25",554
"26",559
"27",560
"28",604
"29",609
"30",613
"31",616
"32",619
"33",620
"34",623
"35",628
"36",634
"37",644
"38",646
"39",648
"40",649
"41",650
"42",664
"43",670
"44",674
"45",675
"46",680
"47",691
"48",694
"49",698
"50",700
"51",701
"52",703
"53",706
"54",709
"55",718
"56",719
"57",744
"58",755
"59",764
"60",773
"61",776
"62",777
"63",778
"64",781
"65",783
"66",785
"67",786
"68",789
"69",793
"70",828
"71",833
"72",834
"73",839
"74",844
"75",849
"76",851
"77",854
"78",855
"79",859
"80",860
"81",861
"82",864
"83",865
"84",866
"85",868
"86",869
"87",873
"88",888
"89",889
"90",896
"91",900
"92",909
"93",910
"94",911
"95",916
"96",917
"97",925
"98",929
"99",943
"100",944
"101",946
"102",947
"103",956
"104",959
"105",971
"106",996
"107",998
"108",999
"109",1001
"110",1013
"111",1020
"112",1021
"113",1024
"114",1026
"115",1028
"116",1029
"117",1034
"118",1040
"119",1054
"120",1070
"121",1075
"122",1078
"123",1079
"124",1085
"125",1088
"126",1107
"127",1108
"128",1109
"129",1110
"130",1116
"131",1119
"132",1159
"133",1164
"134",1165
"135",1170
"136",1180
"137",1186
"138",1200
"139",1202
"140",1204
"141",1208
"142",1214
"143",1257
"144",1260
"145",1269
"146",1281
"147",1285
"148",1289
"149",1290
"150",1326
"151",1328
"152",1329
"153",1341
"154",1343
"155",1345
"156",1351
"157",1373
"158",1383
"159",1393
"160",1400
"161",1408
"162",1409
"163",1420
"164",1426
"165",1433
"166",1434
"167",1438
"168",1439
"169",1461
"170",1481
"171",1489
"172",1490
"173",1494
"174",1508
"175",1544
"176",1545
"177",1549
"178",1553
"179",1571
"180",1573
"181",1581
"182",1591
"183",1600
"184",1626
"185",1631
"186",1639
"187",1654
"188",1655
"189",1659
"190",1666
"191",1675
"192",1686
"193",1713
"194",1714
"195",1726
"196",1736
"197",1741
"198",1754
"199",1755
"200",1768
"201",1769
"202",1791
"203",1795
"204",1796
"205",1797
"206",1810
"207",1823
"208",1824
"209",1826
"210",1850
"211",1878
"212",1881
"213",1905
"214",1909
"215",1916
"216",1919
"217",1929
"218",1961
"219",1966
"220",1969
"221",1970
"222",1971
"223",1984
"224",1991
"225",1999
"226",2031
"227",2040
"228",2053
"229",2054
"230",2055
"231",2057
"232",2067
"233",2068
"234",2070
"235",2079
"236",2080
"237",2081
"238",2098
"239",2103
"240",2108
"241",2110
"242",2125
"243",2126
"244",2133
"245",2134
"246",2135
"247",2136
"248",2138
"249",2159
"250",2166
"251",2178
"252",2179
"253",2180
"254",2181
"255",2184
"256",2188
"257",2190
"258",2191
"259",2193
"260",2207
"261",2208
"262",2209
"263",2210
"264",2211
"265",2216
"266",2218
"267",2220
"268",2221
"269",2222
"270",2238
"271",2248
"272",2262
"273",2264
"274",2265
"275",2273
"276",2275
"277",2289
"278",2291
"279",2294
"280",2300
"281",2301
"282",2302
"283",2303
"284",2346
"285",2353
"286",2354
"287",2385
"288",2406
"289",2407
"290",2408
"291",2434
"292",2435
"293",2440
"294",2441
"295",2455
"296",2496
"297",2510
"298",2512
"299",2516
"300",2538
"301",2593
"302",2595
"303",2621
"304",2623
"305",2626
"306",2679
"307",2680
"308",2681
"309",2707
"310",2708
"311",2709
"312",2735
"313",2736
"314",2762
"315",2763
"316",2791
