"","x"
"1",1
"2",0
"3",0
"4",0
"5",0
"6",1
"7",0
"8",0
"9",0
"10",1
"11",0
"12",0
"13",0
"14",0
"15",1
"16",0
"17",1
"18",0
"19",0
"20",0
"21",0
"22",0
"23",1
"24",1
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",1
"36",1
"37",1
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",1
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",1
"59",1
"60",0
"61",0
"62",0
"63",0
"64",1
"65",0.727740043921625
"66",1
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0.117213126013138
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",1
"95",1
"96",0
"97",0
"98",0
"99",1
"100",1
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",1
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",1
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",1
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",1
"150",0
"151",0
"152",0
"153",0
"154",1
"155",1
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",1
"195",0
"196",0
"197",0
"198",1
"199",0
"200",0
"201",0
"202",1
"203",0
"204",0
"205",1
"206",0
"207",0
"208",1
"209",1
"210",0
"211",0
"212",1
"213",0
"214",0
"215",0
"216",0
"217",1
"218",0
"219",0
"220",0
"221",1
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",1
"232",0
"233",1
"234",0
"235",1
"236",1
"237",0.611138574418994
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",1
"251",0
"252",0
"253",0
"254",0
"255",0
"256",1
"257",0
"258",0
"259",0
"260",1
"261",1
"262",0
"263",0
"264",0
"265",0
"266",1
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",1
"276",0
"277",0
"278",1
"279",0
"280",0
"281",0
"282",1
"283",0
"284",1
"285",1
"286",0
"287",1
"288",0
"289",0
"290",1
"291",0
"292",0
"293",1
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",1
"301",0.214937944379692
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",1
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",1
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",1
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",1
"352",0
"353",0
"354",1
"355",0.901210151722453
"356",1
"357",0
"358",0
"359",1
"360",0
"361",1
"362",0
"363",1
"364",1
"365",0
"366",0
"367",1
"368",0
"369",0
"370",0
"371",1
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",1
"403",0
"404",0
"405",0
"406",0
"407",1
"408",1
"409",0
"410",0
"411",0
"412",0
"413",1
"414",0
"415",0
"416",0
"417",0
"418",1
"419",0
"420",0
"421",0
"422",0
"423",1
"424",0
"425",1
"426",1
"427",1
"428",0
"429",0
"430",0
"431",1
"432",1
"433",1
"434",0
"435",0
"436",1
"437",1
"438",1
"439",0
"440",1
"441",1
"442",0
"443",0
"444",0
"445",1
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",1
"459",1
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",1
"467",0
"468",0
"469",0
"470",0.316993623568622
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",1
"478",1
"479",1
"480",0
"481",0
"482",0
"483",0
"484",1
"485",1
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",1
"494",0
"495",0
"496",0
"497",1
"498",0
"499",0
"500",0
"501",0
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0
"508",1
"509",1
"510",0
"511",1
"512",1
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",1
"522",0
"523",0
"524",1
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",1
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",1
"557",0
"558",1
"559",1
"560",0
"561",1
"562",0
"563",0
"564",0
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0.996137577760901
"574",0
"575",0
"576",1
"577",1
"578",0
"579",0
"580",1
"581",0
"582",1
"583",0
"584",1
"585",1
"586",0
"587",0
"588",0
"589",0
"590",1
"591",0
"592",0
"593",0
"594",0
"595",0
"596",1
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",1
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",1
"624",1
"625",0
"626",0
"627",1
"628",1
"629",0
"630",0
"631",0
"632",0
"633",0
"634",1
"635",0
"636",0
"637",1
"638",0
"639",0
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",1
"653",1
"654",1
"655",0.00473117608874079
"656",0
"657",0
"658",0
"659",0
"660",0
"661",1
"662",0
"663",0
"664",1
"665",0
