"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,53531700.000000,53671673.705590,0,22,0,0,yes,1.000000
25,,142155600.000000,142756992.672880,0,44,0,0,yes,1.000000
24,,133827900.000000,134887516.187500,0,42,0,0,yes,1.000000
23,,145996200.000000,145876234.017070,0,43,0,0,yes,0.999178
22,,136475100.000000,137074680.024950,0,38,0,0,yes,1.000000
21,,100368900.000000,100381875.513670,0,32,0,0,yes,1.000000
20,,210332700.000000,210388622.973600,0,113,0,0,yes,1.000000
19,,314796000.000000,314827942.692930,0,116,0,0,yes,1.000000
18,,377256000.000000,377750704.737830,0,114,0,0,yes,1.000000
17,,263222700.000000,281573485.251460,0,112,0,0,yes,1.000000
16,,183762300.000000,185288361.696770,0,71,0,0,yes,1.000000
15,,235131300.000000,235258220.706060,0,71,0,0,yes,1.000000
14,,98792400.000000,99338174.843780,0,21,0,0,yes,1.000000
13,,114646200.000000,114769463.190430,0,31,0,0,yes,1.000000
12,,89071800.000000,89641851.564960,0,25,0,0,yes,1.000000
11,,59245200.000000,59425702.971170,0,19,0,0,yes,1.000000
10,,3315300000.000000,3316548221.211540,0,115,0,0,yes,1.000000
