"planning_unit","number"
2791,6
2763,9
2762,4
2736,9
2735,9
2709,6
2708,5
2707,10
2684,0
2683,0
2681,10
2680,10
2679,6
2678,6
2657,0
2656,0
2654,0
2653,5
2652,0
2651,2
2650,0
2649,2
2648,1
2629,1
2628,0
2627,2
2626,5
2625,0
2624,5
2623,7
2622,3
2621,9
2620,10
2602,0
2601,0
2600,0
2599,2
2598,4
2597,0
2596,6
2595,4
2594,1
2593,10
2574,0
2573,0
2572,0
2571,0
2570,0
2569,0
2568,0
2567,0
2566,1
2565,0
2547,0
2546,0
2545,0
2544,2
2543,0
2542,0
2541,0
2540,1
2539,2
2538,9
2524,0
2519,0
2517,0
2516,7
2515,0
2514,0
2513,1
2512,6
2511,2
2510,6
2496,8
2495,0
2492,0
2491,0
2490,1
2489,0
2488,0
2487,0
2486,0
2485,0
2484,0
2483,0
2482,0
2469,1
2468,1
2467,0
2465,0
2464,3
2463,3
2462,0
2461,0
2460,0
2459,0
2458,3
2457,0
2456,0
2455,10
2442,0
2441,9
2440,6
2437,3
2436,4
2435,9
2434,6
2433,0
2432,0
2431,0
2430,0
2429,0
2428,0
2427,4
2414,0
2413,0
2412,1
2410,0
2409,1
2408,10
2407,10
2406,7
2405,0
2404,0
2403,1
2402,0
2401,0
2400,0
2399,0
2386,4
2385,10
2382,2
2381,5
2380,2
2379,3
2378,1
2377,0
2376,0
2375,0
2374,0
2373,2
2372,0
2359,0
2358,4
2357,0
2355,0
2354,5
2353,8
2352,3
2351,0
2350,0
2349,0
2348,1
2347,0
2346,10
2345,0
2344,5
2331,1
2330,4
2329,1
2328,0
2327,4
2326,6
2325,0
2324,0
2323,0
2322,0
2321,0
2320,0
2319,1
2318,0
2317,0
2316,0
2304,2
2303,10
2302,4
2301,6
2300,9
2299,3
2298,3
2297,1
2296,0
2295,0
2294,8
2293,3
2292,5
2291,9
2290,3
2289,7
2277,0
2276,4
2275,10
2274,0
2273,10
2272,3
2271,3
2270,1
2269,0
2268,0
2267,1
2266,1
2265,8
2264,5
2263,7
2262,7
2261,0
2249,0
2248,3
2247,1
2246,0
2245,5
2244,1
2243,0
2242,0
2241,0
2240,4
2239,3
2238,6
2237,0
2236,3
2235,0
2234,4
2233,1
2222,8
2221,6
2220,10
2218,10
2217,1
2216,3
2215,3
2214,2
2213,4
2212,0
2211,7
2210,6
2209,10
2208,9
2207,7
2206,3
2194,2
2193,5
2192,0
2191,6
2190,8
2189,4
2188,10
2187,0
2186,0
2185,1
2184,7
2183,4
2182,0
2181,6
2180,6
2179,5
2178,6
2166,7
2165,1
2164,0
2163,1
2162,0
2161,3
2160,0
2159,8
2158,0
2157,0
2156,0
2155,0
2154,0
2153,2
2152,1
2151,0
2150,1
2139,5
2138,9
2137,4
2136,10
2135,10
2134,5
2133,10
2132,0
2131,0
2130,3
2129,0
2128,1
2127,0
2126,7
2125,7
2124,1
2123,4
2122,0
2113,0
2112,1
2111,2
2110,5
2109,2
2108,6
2107,0
